Entity,Code,Day,5-9,10-14,15-17,18-24,25-49,50-59,60-69,70-79,80+,people_vaccinated_per_hundred
France,FRA,05/06/2022,,,,95.93,93.52,94.3,92.95,95.12,89.07,0.05
Spain,ESP,4/29/2022,55.06,84.28,92.07,89.13,88.41,94.93,96.86,99.25,102.29,0.84
Poland,POL,4/29/2022,18.98,39.29,55.17,59.33,61.66,69.88,75.84,82.09,66.65,1.34
Belgium,BEL,05/06/2022,,,,84.69,86.13,91.97,93.45,94.68,93.33,2.55
Czechia,CZE,05/06/2022,5.52,32.43,63.89,70.86,67.05,77.64,81.51,91.1,91.45,2.97
Portugal,PRT,4/29/2022,50.54,86.68,95.73,99.3,100.08,100.99,103.65,105.49,103.13,3.21
Sweden,SWE,4/29/2022,,,80.09,82.99,83.39,91.59,93.56,96.91,99.04,3.62
Hungary,HUN,05/07/2021,,,,27.45,42.76,56.86,71.08,79.65,70.13,4.65
Austria,AUT,5/13/2022,24.14,48,78.3,81.35,80.7,85.11,90.54,90.29,101.96,6.4
Switzerland,CHE,5/15/2022,,,,,,81.26,86.81,91.51,95.63,7.78
Denmark,DNK,05/06/2022,39.28,68.67,88.99,85.77,86.54,94.6,97.39,98.84,102.06,8.75
Finland,FIN,5/13/2022,22.89,68.42,90.07,86.05,87.03,92.41,94.43,96.93,96.05,9.58
Slovakia,SVK,4/29/2022,3.46,15.36,38.12,54.85,53.98,62.62,70.36,80.35,69.71,12.14
Ireland,IRL,4/29/2022,22.34,58.48,82.54,87.14,89.05,98.12,99.42,105.91,110.69,13.52
Croatia,HRV,5/13/2022,0.41,4.37,21.45,49.06,61.07,73.62,80.88,82.84,65.54,16.07
Slovenia,SVN,01/01/2021,,,,0.01,0.07,0.17,0.18,0.44,2.14,20.28
Latvia,LVA,4/22/2022,4.34,37.23,70.17,82.13,80.32,81.95,81.5,77.19,64.71,22.39
Estonia,EST,01/08/2021,,,,0.39,1.06,1.54,1.32,0.61,0.26,25.83
Iceland,ISL,4/29/2022,51.39,74.46,93.89,89.09,87.25,93.78,97.53,103.21,107.67,29.64
Liechtenstein,LIE,5/15/2022,,,,,,77.21,82.08,90.92,94.97,32.69
